model,distance,density,accuracy_mean,accuracy_std,signal_attention_mass_mean,attention_entropy_mean,num_samples
bert,20,1,0.474,0.026907248094147407,0.13367474711313845,3.408965910434723,1500
bert,20,5,0.47000000000000003,0.01708800749063503,0.13125621834459403,3.399161074956258,1500
bert,20,10,0.47333333333333333,0.004163331998932271,0.12101244589934745,3.3982455978393555,1500
bert,20,20,0.4613333333333333,0.01026320287889376,0.11583855167776347,3.3874916723569233,1500
bert,50,1,0.6666666666666666,0.01501110699893029,0.12688513578629743,3.659011615753174,1500
bert,50,5,0.618,0.010583005244258372,0.11665579357681176,3.652680499871572,1500
bert,50,10,0.578,0.024576411454888984,0.10143091437003264,3.6386632213592534,1500
bert,50,20,0.5746666666666667,0.024193663082165407,0.09804566471495975,3.633891077041626,1500
bert,100,1,0.6293333333333333,0.007023769168568484,0.07329192035303761,3.672695969581604,1500
bert,100,5,0.6013333333333333,0.017925772879665035,0.06882051145347456,3.6580000842412317,1500
bert,100,10,0.5266666666666667,0.003055050463303899,0.056699139734652515,3.629320917447408,1500
bert,100,20,0.484,0.0,0.05080925198877231,3.6044863492647807,1500
bert,200,1,0.6826666666666666,0.0011547005383792366,0.09147251867161443,3.7849003213246664,1500
bert,200,5,0.6999999999999998,0.011135528725660053,0.0902839080452298,3.808509183724721,1500
bert,200,10,0.548,0.03104834939252,0.07594137527840211,3.92870324865977,1500
bert,200,20,0.45999999999999996,0.026907248094147407,0.06871480142798585,3.949016665617625,1500
