model,distance,density,seed,sample_id,correct,pred,label,layer,signal_attention_mass,attention_entropy
bert,20,1,1,0,1,2,2,0,0.22265763580799103,4.052697658538818
bert,20,1,1,0,1,2,2,1,0.21667179465293884,3.7843592166900635
bert,20,1,1,0,1,2,2,2,0.10213309526443481,2.4136674404144287
bert,20,1,1,0,1,2,2,3,0.11375406384468079,3.128812789916992
bert,20,1,1,0,1,2,2,4,0.10078755766153336,2.6265358924865723
bert,20,1,1,0,1,2,2,5,0.040574751794338226,2.4388012886047363
bert,20,1,1,0,1,2,2,6,0.028056342154741287,2.6403963565826416
bert,20,1,1,0,1,2,2,7,0.005782861728221178,1.7572705745697021
bert,20,1,1,0,1,2,2,8,0.02265387587249279,1.9524317979812622
bert,20,1,1,0,1,2,2,9,0.047173868864774704,3.206303358078003
bert,20,1,1,0,1,2,2,10,0.09854769706726074,3.900322914123535
bert,20,1,1,0,1,2,2,11,0.2164057344198227,3.2098231315612793
bert,20,1,1,1,0,1,3,0,0.1531761735677719,3.7518210411071777
bert,20,1,1,1,0,1,3,1,0.13615882396697998,3.5825319290161133
bert,20,1,1,1,0,1,3,2,0.0669393464922905,2.3435556888580322
bert,20,1,1,1,0,1,3,3,0.07126379013061523,2.965117931365967
bert,20,1,1,1,0,1,3,4,0.09300124645233154,2.5970916748046875
bert,20,1,1,1,0,1,3,5,0.0296451598405838,2.249894380569458
bert,20,1,1,1,0,1,3,6,0.023273983970284462,2.6594197750091553
bert,20,1,1,1,0,1,3,7,0.003644630778580904,1.8133044242858887
bert,20,1,1,1,0,1,3,8,0.016717756167054176,1.8694305419921875
bert,20,1,1,1,0,1,3,9,0.04465432092547417,3.0595526695251465
bert,20,1,1,1,0,1,3,10,0.09321551024913788,3.5294315814971924
bert,20,1,1,1,0,1,3,11,0.16547712683677673,3.4132702350616455
bert,20,1,1,2,1,0,0,0,0.1694313883781433,4.271923065185547
bert,20,1,1,2,1,0,0,1,0.15418484807014465,4.0114970207214355
bert,20,1,1,2,1,0,0,2,0.07500182092189789,2.752831220626831
bert,20,1,1,2,1,0,0,3,0.07246487587690353,3.352849006652832
bert,20,1,1,2,1,0,0,4,0.06150020286440849,2.763284206390381
bert,20,1,1,2,1,0,0,5,0.029427845031023026,2.290339469909668
bert,20,1,1,2,1,0,0,6,0.021652961149811745,2.6447091102600098
bert,20,1,1,2,1,0,0,7,0.0037960668560117483,1.8092080354690552
bert,20,1,1,2,1,0,0,8,0.01453241053968668,2.022136688232422
bert,20,1,1,2,1,0,0,9,0.043923184275627136,3.428230047225952
bert,20,1,1,2,1,0,0,10,0.07012245059013367,3.9738824367523193
bert,20,1,1,2,1,0,0,11,0.15516237914562225,3.513096332550049
bert,20,1,1,3,0,2,1,0,0.22761081159114838,4.090681552886963
bert,20,1,1,3,0,2,1,1,0.23989833891391754,3.8500566482543945
bert,20,1,1,3,0,2,1,2,0.12330526113510132,2.676964282989502
bert,20,1,1,3,0,2,1,3,0.10656656324863434,3.233661651611328
bert,20,1,1,3,0,2,1,4,0.0777030736207962,2.759077787399292
bert,20,1,1,3,0,2,1,5,0.039925575256347656,2.325646162033081
bert,20,1,1,3,0,2,1,6,0.031964294612407684,2.6387157440185547
bert,20,1,1,3,0,2,1,7,0.008121062070131302,1.9012539386749268
bert,20,1,1,3,0,2,1,8,0.023926928639411926,1.9761881828308105
bert,20,1,1,3,0,2,1,9,0.07335838675498962,3.2662391662597656
bert,20,1,1,3,0,2,1,10,0.12841126322746277,3.867860794067383
bert,20,1,1,3,0,2,1,11,0.2500285506248474,3.3692073822021484
bert,20,1,1,4,1,1,1,0,0.09170584380626678,3.848104953765869
bert,20,1,1,4,1,1,1,1,0.10187035799026489,3.628319263458252
bert,20,1,1,4,1,1,1,2,0.05488939955830574,2.4346323013305664
bert,20,1,1,4,1,1,1,3,0.05555392801761627,3.1213796138763428
bert,20,1,1,4,1,1,1,4,0.06049612909555435,2.526411533355713
bert,20,1,1,4,1,1,1,5,0.027630962431430817,2.45036244392395
bert,20,1,1,4,1,1,1,6,0.019095303490757942,2.7418689727783203
bert,20,1,1,4,1,1,1,7,0.0037442154716700315,1.9251749515533447
bert,20,1,1,4,1,1,1,8,0.011336189694702625,1.8458728790283203
bert,20,1,1,4,1,1,1,9,0.03226448595523834,3.331348419189453
bert,20,1,1,4,1,1,1,10,0.07803335785865784,3.795163631439209
bert,20,1,1,4,1,1,1,11,0.14926499128341675,3.3590335845947266
bert,20,1,1,5,0,0,1,0,0.23094959557056427,4.095146656036377
bert,20,1,1,5,0,0,1,1,0.2520067095756531,3.8762176036834717
bert,20,1,1,5,0,0,1,2,0.12066256999969482,2.5497307777404785
bert,20,1,1,5,0,0,1,3,0.13785117864608765,3.2288153171539307
bert,20,1,1,5,0,0,1,4,0.10433309525251389,2.6980323791503906
bert,20,1,1,5,0,0,1,5,0.03752527013421059,2.2578320503234863
bert,20,1,1,5,0,0,1,6,0.036012470722198486,2.6712679862976074
bert,20,1,1,5,0,0,1,7,0.008864050731062889,1.871040940284729
bert,20,1,1,5,0,0,1,8,0.028411971405148506,2.0067906379699707
bert,20,1,1,5,0,0,1,9,0.07070277631282806,3.218337059020996
bert,20,1,1,5,0,0,1,10,0.12459322065114975,3.8527140617370605
bert,20,1,1,5,0,0,1,11,0.16354577243328094,3.1505441665649414
bert,20,1,1,6,1,0,0,0,0.14258816838264465,4.21437406539917
bert,20,1,1,6,1,0,0,1,0.13624054193496704,3.9135024547576904
bert,20,1,1,6,1,0,0,2,0.059428028762340546,2.566539764404297
bert,20,1,1,6,1,0,0,3,0.06719650328159332,3.284341335296631
bert,20,1,1,6,1,0,0,4,0.03595421090722084,2.7274630069732666
bert,20,1,1,6,1,0,0,5,0.028285814449191093,2.4851696491241455
bert,20,1,1,6,1,0,0,6,0.01248474232852459,2.740290403366089
bert,20,1,1,6,1,0,0,7,0.004621835891157389,1.9132399559020996
bert,20,1,1,6,1,0,0,8,0.013217520900070667,2.0403707027435303
bert,20,1,1,6,1,0,0,9,0.027588533237576485,3.3852462768554688
bert,20,1,1,6,1,0,0,10,0.060971930623054504,3.982649803161621
bert,20,1,1,6,1,0,0,11,0.16246092319488525,3.453447103500366
bert,20,1,1,7,0,2,0,0,0.1323508322238922,4.212227821350098
bert,20,1,1,7,0,2,0,1,0.11960291862487793,3.915355920791626
bert,20,1,1,7,0,2,0,2,0.04925300180912018,2.5374064445495605
