accuracy,num_samples,signal_attention_mass_mean,signal_attention_mass_std,attention_entropy_mean,attention_entropy_std,model,distance,density,seed
0.24,50,0.0,0.0,3.2704075669798273e-09,3.409672431110452e-10,longformer,20,1,1
0.36,50,0.0,0.0,3.3422482736966686e-09,2.9895138304444453e-10,longformer,20,1,2
0.3,50,0.0,0.0,3.2847757447385107e-09,3.438739534035883e-10,longformer,20,1,3
0.36,50,0.0,0.0,3.2704075936251797e-09,2.8583177035654655e-10,longformer,20,5,1
0.26,50,0.0,0.0,3.2466449040313704e-09,3.3703702866267773e-10,longformer,20,5,2
0.26,50,0.0,0.0,3.2952755235626794e-09,4.151155885564819e-10,longformer,20,5,3
0.28,50,0.0,0.0,3.3151698275446505e-09,3.013667258724135e-10,longformer,20,10,1
0.4,50,0.0,0.0,3.3295379742170895e-09,4.5632607121236924e-10,longformer,20,10,2
0.14,50,0.0,0.0,3.3848000446923267e-09,3.8772950715713394e-10,longformer,20,10,3
0.26,50,0.0,0.0,3.411878464198992e-09,3.7097128814942096e-10,longformer,20,20,1
0.3,50,0.0,0.0,3.3234591700903594e-09,3.033018913927599e-10,longformer,20,20,2
0.26,50,0.0,0.0,3.400825989707812e-09,4.2670319474814635e-10,longformer,20,20,3
0.28,50,0.0,0.0,4.852559518653265e-09,3.291616338840751e-10,longformer,50,1,1
0.28,50,0.0,0.0,4.769666466231115e-09,5.230383157120452e-10,longformer,50,1,2
0.3,50,0.0,0.0,4.705009928329673e-09,4.364221802452923e-10,longformer,50,1,3
0.28,50,0.0,0.0,4.775192694594921e-09,3.9277747786828143e-10,longformer,50,5,1
0.2,50,0.0,0.0,4.7801662272917156e-09,4.2893041407604233e-10,longformer,50,5,2
0.26,50,0.0,0.0,4.7613772125032484e-09,3.650094418156245e-10,longformer,50,5,3
0.2,50,0.0,0.0,4.760824521277129e-09,4.1090664951250767e-10,longformer,50,10,1
0.3,50,0.0,0.0,4.881848338911254e-09,4.793781409584759e-10,longformer,50,10,2
0.24,50,0.0,0.0,4.777955791013256e-09,4.659083299448598e-10,longformer,50,10,3
0.22,50,0.0,0.0,4.855322623953384e-09,5.258058866023381e-10,longformer,50,20,1
0.1,50,0.0,0.0,4.856980453382675e-09,4.727291405810664e-10,longformer,50,20,2
0.28,50,0.0,0.0,4.806692039949212e-09,4.0994663237699644e-10,longformer,50,20,3
0.28,50,0.0,0.0,6.970752632895483e-09,5.54507163767525e-10,longformer,100,1,1
0.3,50,0.0,0.0,6.8839913147655804e-09,5.572252024817573e-10,longformer,100,1,2
0.36,50,0.0,0.0,7.0016993181099e-09,4.912430504489105e-10,longformer,100,1,3
0.32,50,0.0,0.0,7.035961857582151e-09,4.313126438005805e-10,longformer,100,5,1
0.2,50,0.0,0.0,7.124381022904913e-09,5.585198214036568e-10,longformer,100,5,2
0.24,50,0.0,0.0,7.159196080408492e-09,5.668515518107656e-10,longformer,100,5,3
0.2,50,0.0,0.0,7.308956293528013e-09,5.13397505903402e-10,longformer,100,10,1
0.34,50,0.0,0.0,7.2746937629375454e-09,5.384841096302508e-10,longformer,100,10,2
0.32,50,0.0,0.0,7.2862986755239945e-09,5.557759899652499e-10,longformer,100,10,3
0.18,50,0.0,0.0,7.3675340406254006e-09,6.002151669727854e-10,longformer,100,20,1
0.18,50,0.0,0.0,7.452084798131864e-09,5.566724464109511e-10,longformer,100,20,2
0.3,50,0.0,0.0,7.260878325254794e-09,6.788482968668914e-10,longformer,100,20,3
0.3,50,0.0,0.0,8.225753553858795e-09,9.631101114054205e-10,longformer,200,1,1
0.18,50,0.0,0.0,8.219674620946194e-09,1.1009783421391752e-09,longformer,200,1,2
0.24,50,0.0,0.0,8.256147658869396e-09,1.0824786355754429e-09,longformer,200,1,3
0.36,50,0.0,0.0,8.876740436036812e-09,1.1332199102331e-09,longformer,200,5,1
0.26,50,0.0,0.0,8.770637247579316e-09,1.1666103320099442e-09,longformer,200,5,2
0.34,50,0.0,0.0,8.796057757720632e-09,1.0523594091442642e-09,longformer,200,5,3
0.26,50,0.0,0.0,1.0928619902372817e-08,1.5763992378872029e-09,longformer,200,10,1
0.36,50,0.0,0.0,1.0645125616548512e-08,1.5763555534779023e-09,longformer,200,10,2
0.28,50,0.0,0.0,1.087059478876995e-08,1.4319039596206008e-09,longformer,200,10,3
0.3,50,0.0,0.0,1.126074447022063e-08,1.8394463878475616e-09,longformer,200,20,1
0.4,50,0.0,0.0,1.1369058130483723e-08,1.6646814887971323e-09,longformer,200,20,2
0.26,50,0.0,0.0,1.1302191147422037e-08,1.7186435535794052e-09,longformer,200,20,3
