model,distance,density,accuracy_mean,accuracy_std,signal_attention_mass_mean,attention_entropy_mean,num_samples
longformer,20,1,0.3,0.06,0.0,3.2991438618050025e-09,150
longformer,20,5,0.29333333333333333,0.05773502691896256,0.0,3.2707760070730768e-09,150
longformer,20,10,0.2733333333333334,0.13012814197295425,0.0,3.343169282151355e-09,150
longformer,20,20,0.2733333333333334,0.023094010767585018,0.0,3.378721207999054e-09,150
longformer,50,1,0.2866666666666667,0.011547005383792493,0.0,4.7757453044046846e-09,150
longformer,50,5,0.24666666666666667,0.04163331998932267,0.0,4.772245378129961e-09,150
longformer,50,10,0.24666666666666667,0.05033222956847166,0.0,4.806876217067213e-09,150
longformer,50,20,0.20000000000000004,0.09165151389911681,0.0,4.839665039095091e-09,150
longformer,100,1,0.3133333333333333,0.04163331998932262,0.0,6.952147755256988e-09,150
longformer,100,5,0.25333333333333335,0.06110100926607787,0.0,7.106512986965185e-09,150
longformer,100,10,0.2866666666666667,0.07571877794400365,0.0,7.289982910663185e-09,150
longformer,100,20,0.21999999999999997,0.06928203230275508,0.0,7.360165721337354e-09,150
longformer,200,1,0.24,0.06,0.0,8.233858611224794e-09,150
longformer,200,5,0.32,0.0529150262212918,0.0,8.814478480445587e-09,150
longformer,200,10,0.3,0.052915026221291794,0.0,1.0814780102563761e-08,150
longformer,200,20,0.32,0.07211102550927981,0.0,1.1310664582708797e-08,150
