model,distance,density,seed,sample_id,correct,pred,label,layer,signal_attention_mass,attention_entropy
longformer,20,1,1,0,1,2,2,0,0.0,3.288091132702675e-09
longformer,20,1,1,0,1,2,2,1,0.0,3.288091132702675e-09
longformer,20,1,1,0,1,2,2,2,0.0,3.288091132702675e-09
longformer,20,1,1,0,1,2,2,3,0.0,3.288091132702675e-09
longformer,20,1,1,0,1,2,2,4,0.0,3.288091132702675e-09
longformer,20,1,1,0,1,2,2,5,0.0,3.288091132702675e-09
longformer,20,1,1,0,1,2,2,6,0.0,3.288091132702675e-09
longformer,20,1,1,0,1,2,2,7,0.0,3.288091132702675e-09
longformer,20,1,1,0,1,2,2,8,0.0,3.288091132702675e-09
longformer,20,1,1,0,1,2,2,9,0.0,3.288091132702675e-09
longformer,20,1,1,0,1,2,2,10,0.0,3.288091132702675e-09
longformer,20,1,1,0,1,2,2,11,0.0,3.288091132702675e-09
longformer,20,1,1,1,0,1,3,0,0.0,2.56968490930376e-09
longformer,20,1,1,1,0,1,3,1,0.0,2.56968490930376e-09
longformer,20,1,1,1,0,1,3,2,0.0,2.56968490930376e-09
longformer,20,1,1,1,0,1,3,3,0.0,2.56968490930376e-09
longformer,20,1,1,1,0,1,3,4,0.0,2.56968490930376e-09
longformer,20,1,1,1,0,1,3,5,0.0,2.56968490930376e-09
longformer,20,1,1,1,0,1,3,6,0.0,2.56968490930376e-09
longformer,20,1,1,1,0,1,3,7,0.0,2.56968490930376e-09
longformer,20,1,1,1,0,1,3,8,0.0,2.56968490930376e-09
longformer,20,1,1,1,0,1,3,9,0.0,2.56968490930376e-09
longformer,20,1,1,1,0,1,3,10,0.0,2.56968490930376e-09
longformer,20,1,1,1,0,1,3,11,0.0,2.56968490930376e-09
longformer,20,1,1,2,1,0,0,0,0.0,3.8407117486372044e-09
longformer,20,1,1,2,1,0,0,1,0.0,3.8407117486372044e-09
longformer,20,1,1,2,1,0,0,2,0.0,3.8407117486372044e-09
longformer,20,1,1,2,1,0,0,3,0.0,3.8407117486372044e-09
longformer,20,1,1,2,1,0,0,4,0.0,3.8407117486372044e-09
longformer,20,1,1,2,1,0,0,5,0.0,3.8407117486372044e-09
longformer,20,1,1,2,1,0,0,6,0.0,3.8407117486372044e-09
longformer,20,1,1,2,1,0,0,7,0.0,3.8407117486372044e-09
longformer,20,1,1,2,1,0,0,8,0.0,3.8407117486372044e-09
longformer,20,1,1,2,1,0,0,9,0.0,3.8407117486372044e-09
longformer,20,1,1,2,1,0,0,10,0.0,3.8407117486372044e-09
longformer,20,1,1,2,1,0,0,11,0.0,3.8407117486372044e-09
longformer,20,1,1,3,0,0,1,0,0.0,3.260460346155014e-09
longformer,20,1,1,3,0,0,1,1,0.0,3.260460346155014e-09
longformer,20,1,1,3,0,0,1,2,0.0,3.260460346155014e-09
longformer,20,1,1,3,0,0,1,3,0.0,3.260460346155014e-09
longformer,20,1,1,3,0,0,1,4,0.0,3.260460346155014e-09
longformer,20,1,1,3,0,0,1,5,0.0,3.260460346155014e-09
longformer,20,1,1,3,0,0,1,6,0.0,3.260460346155014e-09
longformer,20,1,1,3,0,0,1,7,0.0,3.260460346155014e-09
longformer,20,1,1,3,0,0,1,8,0.0,3.260460346155014e-09
longformer,20,1,1,3,0,0,1,9,0.0,3.260460346155014e-09
longformer,20,1,1,3,0,0,1,10,0.0,3.260460346155014e-09
longformer,20,1,1,3,0,0,1,11,0.0,3.260460346155014e-09
longformer,20,1,1,4,0,0,1,0,0.0,2.8183639866341537e-09
longformer,20,1,1,4,0,0,1,1,0.0,2.8183639866341537e-09
longformer,20,1,1,4,0,0,1,2,0.0,2.8183639866341537e-09
longformer,20,1,1,4,0,0,1,3,0.0,2.8183639866341537e-09
longformer,20,1,1,4,0,0,1,4,0.0,2.8183639866341537e-09
longformer,20,1,1,4,0,0,1,5,0.0,2.8183639866341537e-09
longformer,20,1,1,4,0,0,1,6,0.0,2.8183639866341537e-09
longformer,20,1,1,4,0,0,1,7,0.0,2.8183639866341537e-09
longformer,20,1,1,4,0,0,1,8,0.0,2.8183639866341537e-09
longformer,20,1,1,4,0,0,1,9,0.0,2.8183639866341537e-09
longformer,20,1,1,4,0,0,1,10,0.0,2.8183639866341537e-09
longformer,20,1,1,4,0,0,1,11,0.0,2.8183639866341537e-09
longformer,20,1,1,5,0,3,1,0,0.0,3.5644016627145447e-09
longformer,20,1,1,5,0,3,1,1,0.0,3.5644016627145447e-09
longformer,20,1,1,5,0,3,1,2,0.0,3.5644016627145447e-09
longformer,20,1,1,5,0,3,1,3,0.0,3.5644016627145447e-09
longformer,20,1,1,5,0,3,1,4,0.0,3.5644016627145447e-09
longformer,20,1,1,5,0,3,1,5,0.0,3.5644016627145447e-09
longformer,20,1,1,5,0,3,1,6,0.0,3.5644016627145447e-09
longformer,20,1,1,5,0,3,1,7,0.0,3.5644016627145447e-09
longformer,20,1,1,5,0,3,1,8,0.0,3.5644016627145447e-09
longformer,20,1,1,5,0,3,1,9,0.0,3.5644016627145447e-09
longformer,20,1,1,5,0,3,1,10,0.0,3.5644016627145447e-09
longformer,20,1,1,5,0,3,1,11,0.0,3.5644016627145447e-09
longformer,20,1,1,6,1,0,0,0,0.0,3.7025569277204795e-09
longformer,20,1,1,6,1,0,0,1,0.0,3.7025569277204795e-09
longformer,20,1,1,6,1,0,0,2,0.0,3.7025569277204795e-09
longformer,20,1,1,6,1,0,0,3,0.0,3.7025569277204795e-09
longformer,20,1,1,6,1,0,0,4,0.0,3.7025569277204795e-09
longformer,20,1,1,6,1,0,0,5,0.0,3.7025569277204795e-09
longformer,20,1,1,6,1,0,0,6,0.0,3.7025569277204795e-09
longformer,20,1,1,6,1,0,0,7,0.0,3.7025569277204795e-09
longformer,20,1,1,6,1,0,0,8,0.0,3.7025569277204795e-09
longformer,20,1,1,6,1,0,0,9,0.0,3.7025569277204795e-09
longformer,20,1,1,6,1,0,0,10,0.0,3.7025569277204795e-09
longformer,20,1,1,6,1,0,0,11,0.0,3.7025569277204795e-09
longformer,20,1,1,7,1,0,0,0,0.0,3.7301877142681406e-09
longformer,20,1,1,7,1,0,0,1,0.0,3.7301877142681406e-09
longformer,20,1,1,7,1,0,0,2,0.0,3.7301877142681406e-09
longformer,20,1,1,7,1,0,0,3,0.0,3.7301877142681406e-09
longformer,20,1,1,7,1,0,0,4,0.0,3.7301877142681406e-09
longformer,20,1,1,7,1,0,0,5,0.0,3.7301877142681406e-09
longformer,20,1,1,7,1,0,0,6,0.0,3.7301877142681406e-09
longformer,20,1,1,7,1,0,0,7,0.0,3.7301877142681406e-09
longformer,20,1,1,7,1,0,0,8,0.0,3.7301877142681406e-09
longformer,20,1,1,7,1,0,0,9,0.0,3.7301877142681406e-09
longformer,20,1,1,7,1,0,0,10,0.0,3.7301877142681406e-09
longformer,20,1,1,7,1,0,0,11,0.0,3.7301877142681406e-09
longformer,20,1,1,8,0,0,2,0,0.0,3.398615611160949e-09
longformer,20,1,1,8,0,0,2,1,0.0,3.398615611160949e-09
longformer,20,1,1,8,0,0,2,2,0.0,3.398615611160949e-09
longformer,20,1,1,8,0,0,2,3,0.0,3.398615611160949e-09
longformer,20,1,1,8,0,0,2,4,0.0,3.398615611160949e-09
longformer,20,1,1,8,0,0,2,5,0.0,3.398615611160949e-09
longformer,20,1,1,8,0,0,2,6,0.0,3.398615611160949e-09
longformer,20,1,1,8,0,0,2,7,0.0,3.398615611160949e-09
longformer,20,1,1,8,0,0,2,8,0.0,3.398615611160949e-09
longformer,20,1,1,8,0,0,2,9,0.0,3.398615611160949e-09
longformer,20,1,1,8,0,0,2,10,0.0,3.398615611160949e-09
longformer,20,1,1,8,0,0,2,11,0.0,3.398615611160949e-09
longformer,20,1,1,9,1,3,3,0,0.0,3.7025569277204795e-09
longformer,20,1,1,9,1,3,3,1,0.0,3.7025569277204795e-09
longformer,20,1,1,9,1,3,3,2,0.0,3.7025569277204795e-09
longformer,20,1,1,9,1,3,3,3,0.0,3.7025569277204795e-09
longformer,20,1,1,9,1,3,3,4,0.0,3.7025569277204795e-09
longformer,20,1,1,9,1,3,3,5,0.0,3.7025569277204795e-09
longformer,20,1,1,9,1,3,3,6,0.0,3.7025569277204795e-09
longformer,20,1,1,9,1,3,3,7,0.0,3.7025569277204795e-09
longformer,20,1,1,9,1,3,3,8,0.0,3.7025569277204795e-09
longformer,20,1,1,9,1,3,3,9,0.0,3.7025569277204795e-09
longformer,20,1,1,9,1,3,3,10,0.0,3.7025569277204795e-09
longformer,20,1,1,9,1,3,3,11,0.0,3.7025569277204795e-09
longformer,20,1,1,10,1,3,3,0,0.0,3.0670430639645474e-09
longformer,20,1,1,10,1,3,3,1,0.0,3.0670430639645474e-09
longformer,20,1,1,10,1,3,3,2,0.0,3.0670430639645474e-09
longformer,20,1,1,10,1,3,3,3,0.0,3.0670430639645474e-09
longformer,20,1,1,10,1,3,3,4,0.0,3.0670430639645474e-09
longformer,20,1,1,10,1,3,3,5,0.0,3.0670430639645474e-09
longformer,20,1,1,10,1,3,3,6,0.0,3.0670430639645474e-09
longformer,20,1,1,10,1,3,3,7,0.0,3.0670430639645474e-09
longformer,20,1,1,10,1,3,3,8,0.0,3.0670430639645474e-09
longformer,20,1,1,10,1,3,3,9,0.0,3.0670430639645474e-09
longformer,20,1,1,10,1,3,3,10,0.0,3.0670430639645474e-09
longformer,20,1,1,10,1,3,3,11,0.0,3.0670430639645474e-09
longformer,20,1,1,11,1,0,0,0,0.0,3.6472949105359476e-09
longformer,20,1,1,11,1,0,0,1,0.0,3.6472949105359476e-09
longformer,20,1,1,11,1,0,0,2,0.0,3.6472949105359476e-09
longformer,20,1,1,11,1,0,0,3,0.0,3.6472949105359476e-09
longformer,20,1,1,11,1,0,0,4,0.0,3.6472949105359476e-09
longformer,20,1,1,11,1,0,0,5,0.0,3.6472949105359476e-09
longformer,20,1,1,11,1,0,0,6,0.0,3.6472949105359476e-09
longformer,20,1,1,11,1,0,0,7,0.0,3.6472949105359476e-09
longformer,20,1,1,11,1,0,0,8,0.0,3.6472949105359476e-09
