model,distance,density,seed,accuracy
bert,20,1,1,0.91
bert,20,1,2,0.898
bert,20,1,3,0.934
bert,20,5,1,0.878
bert,20,5,2,0.898
bert,20,5,3,0.892
bert,20,10,1,0.878
bert,20,10,2,0.874
bert,20,10,3,0.882
bert,20,20,1,0.846
bert,20,20,2,0.856
bert,20,20,3,0.886
bert,50,1,1,0.908
bert,50,1,2,0.926
bert,50,1,3,0.894
bert,50,5,1,0.896
bert,50,5,2,0.89
bert,50,5,3,0.892
bert,50,10,1,0.856
bert,50,10,2,0.874
bert,50,10,3,0.832
bert,50,20,1,0.822
bert,50,20,2,0.838
bert,50,20,3,0.824
bert,100,1,1,0.908
bert,100,1,2,0.938
bert,100,1,3,0.948
bert,100,5,1,0.922
bert,100,5,2,0.89
bert,100,5,3,0.91
bert,100,10,1,0.832
bert,100,10,2,0.85
bert,100,10,3,0.858
bert,100,20,1,0.776
bert,100,20,2,0.764
bert,100,20,3,0.814
bert,200,1,1,0.934
bert,200,1,2,0.962
bert,200,1,3,0.934
bert,200,5,1,0.952
bert,200,5,2,0.9
bert,200,5,3,0.932
bert,200,10,1,0.848
bert,200,10,2,0.85
bert,200,10,3,0.81
bert,200,20,1,0.77
bert,200,20,2,0.778
bert,200,20,3,0.778
