distance,density,mean,std
20,1,0.914,0.018330302779823376
20,5,0.8893333333333334,0.010263202878893781
20,10,0.878,0.0040000000000000036
20,20,0.8626666666666667,0.02081665999466133
50,1,0.9093333333333334,0.016041612554021287
50,5,0.8926666666666666,0.003055050463303899
50,10,0.854,0.021071307505705496
50,20,0.828,0.008717797887081356
100,1,0.9313333333333333,0.02081665999466124
100,5,0.9073333333333333,0.016165807537309538
100,10,0.8466666666666667,0.013316656236958786
100,20,0.7846666666666667,0.0261023626006025
200,1,0.9433333333333334,0.016165807537309486
200,5,0.9279999999999999,0.026229754097207954
200,10,0.836,0.02253885533916923
200,20,0.7753333333333333,0.0046188021535170185
