model,distance,density,seed,accuracy
longformer,20,1,1,0.55
longformer,20,1,2,0.54
longformer,20,1,3,0.508
longformer,20,5,1,0.522
longformer,20,5,2,0.55
longformer,20,5,3,0.542
longformer,20,10,1,0.532
longformer,20,10,2,0.526
longformer,20,10,3,0.492
longformer,20,20,1,0.48
longformer,20,20,2,0.486
longformer,20,20,3,0.5
longformer,50,1,1,0.57
longformer,50,1,2,0.55
longformer,50,1,3,0.532
longformer,50,5,1,0.544
longformer,50,5,2,0.516
longformer,50,5,3,0.514
longformer,50,10,1,0.536
longformer,50,10,2,0.498
longformer,50,10,3,0.482
longformer,50,20,1,0.464
longformer,50,20,2,0.484
longformer,50,20,3,0.46
longformer,100,1,1,0.514
longformer,100,1,2,0.512
longformer,100,1,3,0.562
longformer,100,5,1,0.494
longformer,100,5,2,0.478
longformer,100,5,3,0.494
longformer,100,10,1,0.402
longformer,100,10,2,0.414
longformer,100,10,3,0.404
longformer,100,20,1,0.38
longformer,100,20,2,0.394
longformer,100,20,3,0.396
longformer,200,1,1,0.434
longformer,200,1,2,0.444
longformer,200,1,3,0.436
longformer,200,5,1,0.41
longformer,200,5,2,0.43
longformer,200,5,3,0.384
longformer,200,10,1,0.336
longformer,200,10,2,0.356
longformer,200,10,3,0.34
longformer,200,20,1,0.314
longformer,200,20,2,0.322
longformer,200,20,3,0.312
