distance,density,mean,std
20,1,0.5326666666666667,0.021939310229205814
20,5,0.538,0.01442220510185597
20,10,0.5166666666666667,0.02157158624981795
20,20,0.48866666666666664,0.010263202878893785
50,1,0.5506666666666667,0.019008769905844353
50,5,0.5246666666666667,0.016772994167212188
50,10,0.5053333333333333,0.02773685875028631
50,20,0.4693333333333333,0.012858201014657253
100,1,0.5293333333333333,0.028307831660749568
100,5,0.48866666666666664,0.009237604307034025
100,10,0.4066666666666667,0.006429100507328601
100,20,0.38999999999999996,0.008717797887081356
200,1,0.438,0.005291502622129186
200,5,0.408,0.023065125189341576
200,10,0.34400000000000003,0.010583005244258346
200,20,0.316,0.005291502622129186
