distance,density,seed,accuracy,num_samples,path
20,1,1,0.89,500,results/grid/d20_den1_seed1/test_predictions.json
20,1,2,0.92,500,results/grid/d20_den1_seed2/test_predictions.json
20,1,3,0.914,500,results/grid/d20_den1_seed3/test_predictions.json
20,5,1,0.89,500,results/grid/d20_den5_seed1/test_predictions.json
20,5,2,0.916,500,results/grid/d20_den5_seed2/test_predictions.json
20,5,3,0.892,500,results/grid/d20_den5_seed3/test_predictions.json
20,10,1,0.892,500,results/grid/d20_den10_seed1/test_predictions.json
20,10,2,0.846,500,results/grid/d20_den10_seed2/test_predictions.json
20,10,3,0.88,500,results/grid/d20_den10_seed3/test_predictions.json
20,20,1,0.848,500,results/grid/d20_den20_seed1/test_predictions.json
20,20,2,0.828,500,results/grid/d20_den20_seed2/test_predictions.json
20,20,3,0.868,500,results/grid/d20_den20_seed3/test_predictions.json
50,1,1,0.916,500,results/grid/d50_den1_seed1/test_predictions.json
50,1,2,0.92,500,results/grid/d50_den1_seed2/test_predictions.json
50,1,3,0.908,500,results/grid/d50_den1_seed3/test_predictions.json
50,5,1,0.894,500,results/grid/d50_den5_seed1/test_predictions.json
50,5,2,0.892,500,results/grid/d50_den5_seed2/test_predictions.json
50,5,3,0.902,500,results/grid/d50_den5_seed3/test_predictions.json
50,10,1,0.876,500,results/grid/d50_den10_seed1/test_predictions.json
50,10,2,0.854,500,results/grid/d50_den10_seed2/test_predictions.json
50,10,3,0.838,500,results/grid/d50_den10_seed3/test_predictions.json
50,20,1,0.824,500,results/grid/d50_den20_seed1/test_predictions.json
50,20,2,0.828,500,results/grid/d50_den20_seed2/test_predictions.json
50,20,3,0.834,500,results/grid/d50_den20_seed3/test_predictions.json
100,1,1,0.956,500,results/grid/d100_den1_seed1/test_predictions.json
100,1,2,0.942,500,results/grid/d100_den1_seed2/test_predictions.json
100,1,3,0.968,500,results/grid/d100_den1_seed3/test_predictions.json
100,5,1,0.944,500,results/grid/d100_den5_seed1/test_predictions.json
100,5,2,0.918,500,results/grid/d100_den5_seed2/test_predictions.json
100,5,3,0.934,500,results/grid/d100_den5_seed3/test_predictions.json
100,10,1,0.876,500,results/grid/d100_den10_seed1/test_predictions.json
100,10,2,0.868,500,results/grid/d100_den10_seed2/test_predictions.json
100,10,3,0.874,500,results/grid/d100_den10_seed3/test_predictions.json
100,20,1,0.826,500,results/grid/d100_den20_seed1/test_predictions.json
100,20,2,0.802,500,results/grid/d100_den20_seed2/test_predictions.json
100,20,3,0.826,500,results/grid/d100_den20_seed3/test_predictions.json
200,1,1,0.956,500,results/grid/d200_den1_seed1/test_predictions.json
200,1,2,0.97,500,results/grid/d200_den1_seed2/test_predictions.json
200,1,3,0.942,500,results/grid/d200_den1_seed3/test_predictions.json
200,5,1,0.95,500,results/grid/d200_den5_seed1/test_predictions.json
200,5,2,0.936,500,results/grid/d200_den5_seed2/test_predictions.json
200,5,3,0.95,500,results/grid/d200_den5_seed3/test_predictions.json
200,10,1,0.854,500,results/grid/d200_den10_seed1/test_predictions.json
200,10,2,0.864,500,results/grid/d200_den10_seed2/test_predictions.json
200,10,3,0.854,500,results/grid/d200_den10_seed3/test_predictions.json
200,20,1,0.798,500,results/grid/d200_den20_seed1/test_predictions.json
200,20,2,0.844,500,results/grid/d200_den20_seed2/test_predictions.json
200,20,3,0.802,500,results/grid/d200_den20_seed3/test_predictions.json
