distance,density,mean,std,count
20,1,0.908,0.01587450786638756,3
20,5,0.8993333333333333,0.014468356276140477,3
20,10,0.8726666666666666,0.023860706890897723,3
20,20,0.848,0.020000000000000018,3
50,1,0.9146666666666667,0.006110100926607807,3
50,5,0.896,0.005291502622129186,3
50,10,0.856,0.01907878402833893,3
50,20,0.8286666666666666,0.005033222956847157,3
100,1,0.9553333333333333,0.013012814197295448,3
100,5,0.932,0.013114877048603986,3
100,10,0.8726666666666666,0.004163331998932265,3
100,20,0.818,0.013856406460550967,3
200,1,0.956,0.014000000000000012,3
200,5,0.9453333333333332,0.008082903768654712,3
200,10,0.8573333333333334,0.0057735026918962545,3
200,20,0.8146666666666667,0.025482019804821825,3
